PGNS	Pron. Glob. Neut. Sing.
PLAS	Pron. Rel. Masc./Neut. Sing.
PLEL	Pron. Rel. Fem./Masc. Plur./Sing.
PLEP	Pron. Rel. Fem./Masc. Plur.
PLES	Pron. Rel. Fem./Masc. Sing.
PLFP	Pron. Rel. Fem. Plur.
PLFS	Pron. Rel. Fem. Sing.
PLMP	Pron. Rel. Masc. Plur.
PLMS	Pron. Rel. Masc. Sing.
PLNS	Pron. Rel. Neut. Sing.
PNEL	Pron. Indef. Masc./Fem. Plur./Sing.
PNEP	Pron. Indef. Masc./Fem. Plur.
PNES	Pron. Indef. Masc./Fem. Sing.
PNFP	Pron. Indef. Fem. Plur.
PNFS	Pron. Indef. Fem. Sing.
PNMP	Pron. Indef. Masc. Plur.
PNMS	Pron. Indef. Masc. Sing.
PNNS	Pron. Indef. Neut. Sing.
POAS	Pron. Comp. Masc./Neut. Sing.
POEL	Pron. Comp. Fem./Masc. Plur./Sing. 
POEP	Pron. Comp. Fem./Masc. Plur.
POES	Pron. Comp. Fem./Masc. Plur.
POFP	Pron. Comp. Fem. Plur.
POFS	Pron. Comp. Fem. Sing.
POIS	Pron. Comp. Fem./Masc./Neut. Sing.
POMP	Pron. Comp. Masc. Plur.
POMS	Pron. Comp. Masc. Sing.
PONS	Pron. Comp. Neut. Sing.
PPFP	Pron. Num.-Part. Fem. Plur.
PPFS	Pron. Num.-Part. Fem. Sing.
PPMP	Pron. Num.-Part. Masc. Plur.
PPMS	Pron. Num.-Part. Masc. Sing.
Q	Punt.
PQAS	Pron. Cuant. Masc./Neut. Sing.
PQEP	Pron. Cuant. Fem./Masc. Plur.
PQES	Pron. Cuant. Fem./Masc. Sing.
PQFP	Pron. Cuant. Fem. Plur.
PQFS	Pron. Cuant. Fem. Sing.
PQIS	Pron. Cuant. Fem./Masc./Neut. Sing.
PQMP	Pron. Cuant. Masc. Plur.
PQMS	Pron. Cuant. Masc. Sing.
PQNS	Pron. Cuant. Neut. Sing.
PRFP	Pron. Num.-Ord. Fem. Plur.
PRFS	Pron. Num.-Ord. Fem. Sing.
PRMP	Pron. Num.-Ord. Masc. Plur.
PRMS	Pron. Num.-Ord. Masc. Sing.
PRNS	Pron. Num.-Ord. Masc. Sing.
PS1FP	Pron. Pos. 1.ª-Pers.-Sing. Fem. Plur.
PS1FS	Pron. Pos. 1.ª-Pers.-Sing. Fem. Sing.
PS1MP	Pron. Pos. 1.ª-Pers.-Sing. Masc. Plur.
PS1MS	Pron. Pos. 1.ª-Pers.-Sing. Masc. Sing.
PS1NS	Pron. Pos. 1.ª-Pers.-Sing. Neut. Sing.
PS2FP	Pron. Pos. 2.ª-Pers.-Sing. Fem. Plur.
PS2FS	Pron. Pos. 2.ª-Pers.-Sing. Fem. Sing.
PS2MP	Pron. Pos. 2.ª-Pers.-Sing. Masc. Plur.
PS2MS	Pron. Pos. 2.ª-Pers.-Sing. Masc. Sing.
PS2NS	Pron. Pos. 2.ª-Pers.-Sing. Neut. Sing.
PS3FP	Det. Pos. 3.ª-Pers.-Sing. Fem. Plur.
PS3FS	Det. Pos. 3.ª-Pers.-Sing. Fem. Sing.
PS3MP	Det. Pos. 3.ª-Pers.-Sing. Masc. Plur.
PS3MS	Det. Pos. 3.ª-Pers.-Sing. Masc. Sing.
PS4FP	Pron. Pos. 1.ª-Pers.-Plur. Fem. Plur.
PS4FS	Pron. Pos. 1.ª-Pers.-Plur. Fem. Sing.
PS4MP	Pron. Pos. 1.ª-Pers.-Plur. Masc. Plur.
PS4MS	Pron. Pos. 1.ª-Pers.-Plur. Masc. Sing.
PS4NS	Pron. Pos. 1.ª-Pers.-Plur. Neut. Sing.
PS5FP	Pron. Pos. 2.ª-Pers.-Plur. Fem. Plur.
PS5FS	Pron. Pos. 2.ª-Pers.-Plur. Fem. Sing.
PS5MP	Pron. Pos. 2.ª-Pers.-Plur. Masc. Plur.
PS5MS	Pron. Pos. 2.ª-Pers.-Plur. Masc. Sing.
PS5NS	Pron. Pos. 2.ª-Pers.-Plur. Neut. Sing.
PS6FP	Det. Pos. 3.ª-Pers.-Sing. Fem. Plur.
PS6FS	Det. Pos. 3.ª-Pers.-Plur. Fem. Sing.
PS6MP	Det. Pos. 3.ª-Pers.-Plur. Masc. Plur.
PS6MS	Det. Pos. 3.ª-Pers.-Plur. Masc. Sing.
PS7FP	Det. Pos. 3.ª-Pers.-Plur. Fem. Plur.
PS7FS	Det. Pos. 3.ª-Pers.-Plur./Sing. Fem. Sing.
PS7MP	Det. Pos. 3.ª-Pers.-Plur./Sing. Masc. Plur.
PS7MS	Det. Pos. 3.ª-Pers.-Plur./Sing. Masc. Sing.
PS7NS	Det. Pos. 3.ª-Pers.-Plur./Sing. Neut. Sing. 
PTAS	Pron. Int.-Exc. Masc./Neut. Sing.
PTEP	Pron. Int.-Exc. Fem./Masc. Plur.
PTES	Pron. Int.-Exc. Fem./Masc. Sing.
PTFP	Pron. Int.-Exc. Fem. Plur.
PTFS	Pron. Int.-Exc. Fem. Sing.
PTMP	Pron. Int.-Exc. Masc. Plur.
PTMS	Pron. Int.-Exc. Masc. Sing.
PTNS	Pron. Int.-Exc. Neut. Sing.
PY1EPO	Pron. Pers. 1.ª-Pers. Fem./Masc. Plur. Acus.-Dat.-Med.
PY1ESN	Pron. Pers. 1.ª-Pers. Fem./Masc. Sing. Nom.
